PLAYER_NAME,TEAM_ABBREVIATION,SEASON,PTS,NEXT_SEASON_PTS,PREDICTED_NEXT_SEASON_PTS,ERROR,ABS_ERROR,LOWER_CONFIDENCE_RANGE,UPPER_CONFIDENCE_RANGE,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PLUS_MINUS,USG_PCT,TS_PCT,PACE,OFF_RATING,NET_RATING,TEAM_PACE,TEAM_OFF_RATING,TEAM_DEF_RATING,TEAM_NET_RATING,PTS_LAST_YEAR,MIN_LAST_YEAR,GP_LAST_YEAR,USG_LAST_YEAR,TS_LAST_YEAR,PTS_CHANGE,MIN_CHANGE,GP_CHANGE,USG_CHANGE,TS_CHANGE
Daniel Gafford,DAL,2023-24,814,701.0,693.6615,7.3385009765625,7.3385009765625,475.0412,912.2818,25.0,74,1814.355,348,480,0.725,0,0,0.0,118,175,0.674,562,115,74,65,153,-102,0.145,0.731,103.3,113.9,-2.2,100.6,117.0,114.9,2.1,705.0,1604.22,78.0,0.146,0.739,109.0,210.135,-4.0,-0.0010000000000000009,-0.008000000000000007
Damian Lillard,MIL,2023-24,1775,1447.0,1456.9658,-9.9658203125,9.9658203125,1238.3455,1675.5862,33.0,73,2578.4283333333333,541,1277,0.424,220,622,0.354,473,514,0.92,320,508,193,72,18,389,0.274,0.59,102.06,119.4,6.9,100.51,117.6,115.0,2.6,1866.0,2106.59,58.0,0.331,0.645,-91.0,471.83833333333314,15.0,-0.056999999999999995,-0.05500000000000005
Malik Monk,SAC,2023-24,1110,1117.0,1106.7405,10.259521484375,10.259521484375,888.1202,1325.3608,26.0,72,1872.3066666666666,396,893,0.443,148,423,0.35,170,205,0.829,212,370,150,45,39,10,0.247,0.564,101.92,115.2,0.1,99.46,116.2,114.4,1.8,1041.0,1719.235,77.0,0.247,0.587,69.0,153.07166666666672,-5.0,0.0,-0.02300000000000002
Nikola Vučević,CHI,2023-24,1370,1349.0,1338.3408,10.6591796875,10.6591796875,1119.7205,1556.9612,33.0,76,2609.5016666666666,586,1211,0.484,92,313,0.294,106,129,0.822,801,254,120,50,60,-180,0.233,0.54,97.36,112.5,-3.1,96.94,114.0,115.7,-1.7,1447.0,2746.355,82.0,0.218,0.594,-77.0,-136.85333333333347,-6.0,0.015000000000000013,-0.05399999999999994
Al Horford,BOS,2023-24,562,538.0,548.784,-10.78399658203125,10.78399658203125,330.1637,767.4043,38.0,65,1739.7966666666666,214,419,0.511,108,258,0.419,26,30,0.867,413,168,48,38,62,421,0.119,0.65,98.77,120.9,11.4,97.98,122.2,110.6,11.7,616.0,1921.375,63.0,0.119,0.631,-54.0,-181.57833333333338,2.0,0.0,0.019000000000000017
Josh Okogie,PHX,2023-24,277,283.0,270.2875,12.712493896484375,12.712493896484375,51.667206,488.9078,25.0,60,959.715,86,206,0.417,29,94,0.309,76,102,0.745,154,64,36,48,24,6,0.125,0.552,100.88,112.8,1.3,99.0,116.8,113.7,3.1,529.0,1350.59,72.0,0.174,0.531,-252.0,-390.8749999999999,-12.0,-0.04899999999999999,0.02100000000000002
Blake Wesley,SAS,2023-24,268,217.0,203.796,13.203994750976562,13.203994750976562,-14.824295,422.41632,21.0,61,875.925,102,215,0.474,12,55,0.218,52,78,0.667,94,166,55,29,9,-144,0.144,0.537,103.71,104.6,-7.8,101.8,109.3,115.6,-6.4,184.0,669.055,37.0,0.18,0.393,84.0,206.87,24.0,-0.036000000000000004,0.14400000000000002
Jaden Hardy,DAL,2023-24,530,496.0,482.60324,13.396759033203125,13.396759033203125,263.98294,701.2235,21.0,73,989.2133333333334,195,479,0.407,81,224,0.362,59,76,0.776,131,109,62,22,4,-126,0.238,0.517,103.38,108.1,-6.5,100.6,117.0,114.9,2.1,420.0,708.39,48.0,0.248,0.571,110.0,280.8233333333334,25.0,-0.010000000000000009,-0.05399999999999994
RJ Barrett,TOR,2023-24,1170,1223.0,1237.7511,-14.7510986328125,14.7510986328125,1019.1308,1456.3713,24.0,58,1838.1333333333334,436,880,0.495,90,250,0.36,208,291,0.715,315,193,126,31,22,-153,0.257,0.58,101.83,113.6,-3.3,99.91,111.8,118.1,-6.3,1431.0,2475.465,73.0,0.256,0.531,-261.0,-637.3316666666667,-15.0,0.0010000000000000009,0.04899999999999993
Tristan Thompson,CLE,2023-24,161,69.0,85.51447,-16.51447296142578,16.51447296142578,-133.10583,304.13477,33.0,49,548.9166666666666,73,119,0.613,0,1,0.0,15,52,0.288,174,51,29,12,14,-13,0.132,0.567,97.98,113.3,-0.5,97.62,114.7,112.1,2.5,344.0,896.2183333333334,57.0,0.168,0.541,-183.0,-347.30166666666673,-8.0,-0.036000000000000004,0.025999999999999912
Franz Wagner,ORL,2023-24,1421,1449.0,1465.8209,-16.8209228515625,16.8209228515625,1247.2007,1684.4412,22.0,72,2337.4166666666665,528,1096,0.482,94,334,0.281,271,319,0.85,381,269,137,76,28,204,0.25,0.575,98.46,112.5,4.3,97.37,112.9,110.8,2.2,1485.0,2608.7266666666665,80.0,0.23,0.589,-64.0,-271.30999999999995,-8.0,0.01999999999999999,-0.014000000000000012
Jabari Walker,POR,2023-24,638,313.0,330.113,-17.113006591796875,17.113006591796875,111.49271,548.7333,21.0,72,1700.5733333333333,234,509,0.46,41,139,0.295,129,171,0.754,508,71,66,42,22,-338,0.159,0.546,98.44,107.1,-9.5,97.88,107.6,116.6,-9.0,216.0,619.1633333333333,56.0,0.164,0.496,422.0,1081.4099999999999,16.0,-0.0050000000000000044,0.050000000000000044
Dalen Terry,CHI,2023-24,180,326.0,343.20706,-17.207061767578125,17.207061767578125,124.58676,561.8274,21.0,59,680.71,69,157,0.439,17,74,0.23,25,43,0.581,113,81,32,27,18,36,0.127,0.512,99.32,112.9,2.2,96.94,114.0,115.7,-1.7,85.0,213.945,38.0,0.173,0.523,95.0,466.76500000000004,21.0,-0.045999999999999985,-0.01100000000000001
Wendell Carter Jr.,ORL,2023-24,603,618.0,600.06366,17.93634033203125,17.93634033203125,381.44336,818.68396,25.0,55,1406.3033333333333,223,425,0.525,64,171,0.374,93,134,0.694,381,95,68,35,28,51,0.172,0.623,97.46,110.8,1.1,97.37,112.9,110.8,2.2,868.0,1689.54,57.0,0.204,0.621,-265.0,-283.2366666666667,-2.0,-0.032,0.0020000000000000018
Talen Horton-Tucker,UTA,2023-24,516,379.0,397.0636,-18.0635986328125,18.0635986328125,178.4433,615.6839,23.0,51,1008.6983333333334,184,465,0.396,60,182,0.33,88,109,0.807,121,177,65,45,19,-107,0.234,0.503,100.57,112.5,-5.4,100.26,114.5,119.6,-5.1,698.0,1313.215,65.0,0.25,0.508,-182.0,-304.51666666666654,-14.0,-0.015999999999999986,-0.0050000000000000044
Anthony Gill,WAS,2023-24,189,129.0,110.33616,18.663841247558594,18.663841247558594,-108.28414,328.95645,31.0,50,466.49666666666667,75,160,0.469,10,41,0.244,29,36,0.806,94,34,23,13,11,5,0.177,0.537,104.03,113.3,1.2,103.07,110.2,118.9,-8.7,195.0,624.5933333333334,59.0,0.116,0.604,-6.0,-158.0966666666667,-9.0,0.060999999999999985,-0.06699999999999995
A.J. Lawson,DAL,2023-24,136,236.0,255.15637,-19.1563720703125,19.1563720703125,36.53607,473.77667,23.0,42,310.9,54,121,0.446,13,50,0.26,15,23,0.652,50,20,14,10,3,18,0.18,0.519,107.53,106.6,1.2,100.6,117.0,114.9,2.1,56.0,108.26833333333333,15.0,0.189,0.589,80.0,202.63166666666666,27.0,-0.009000000000000008,-0.06999999999999995
Bam Adebayo,MIA,2023-24,1367,1410.0,1388.8835,21.116455078125,21.116455078125,1170.2632,1607.5039,26.0,71,2416.4733333333334,530,1017,0.521,15,42,0.357,292,387,0.755,737,278,162,81,66,50,0.247,0.576,97.43,110.1,0.8,96.88,113.3,111.5,1.8,1529.0,2597.9933333333333,75.0,0.251,0.592,-162.0,-181.51999999999998,-4.0,-0.0040000000000000036,-0.016000000000000014
Jalen Brunson,NYK,2023-24,2212,1690.0,1712.3837,-22.3836669921875,22.3836669921875,1493.7634,1931.0039,27.0,77,2726.3033333333333,790,1648,0.479,211,526,0.401,421,497,0.847,278,519,186,70,13,512,0.311,0.592,96.68,121.2,8.6,95.96,117.3,112.4,4.9,1633.0,2378.6716666666666,68.0,0.266,0.597,579.0,347.63166666666666,9.0,0.044999999999999984,-0.0050000000000000044
Jake LaRavia,MEM,2023-24,379,458.0,432.93616,25.0638427734375,25.0638427734375,214.31586,651.55646,22.0,35,805.55,118,303,0.389,53,156,0.34,90,109,0.826,128,58,45,29,12,-114,0.201,0.54,99.45,105.2,-6.7,98.68,106.8,113.7,-6.9,105.0,414.2866666666667,35.0,0.117,0.531,274.0,391.26333333333326,0.0,0.084,0.009000000000000008
Mike Conley,MIN,2023-24,869,582.0,608.4185,-26.41851806640625,26.41851806640625,389.79822,827.0388,36.0,76,2193.4583333333335,294,644,0.457,179,405,0.442,102,112,0.911,218,449,102,88,17,274,0.157,0.627,97.38,113.7,5.7,97.79,114.6,108.4,6.3,798.0,2028.055,67.0,0.161,0.583,71.0,165.40333333333342,9.0,-0.0040000000000000036,0.04400000000000004
Gary Trent Jr.,TOR,2023-24,974,824.0,797.47125,26.52874755859375,26.52874755859375,578.85095,1016.09155,25.0,71,1993.5983333333334,361,847,0.426,178,453,0.393,74,96,0.771,188,119,47,77,10,-194,0.195,0.548,100.18,113.7,-4.6,99.91,111.8,118.1,-6.3,1148.0,2117.9933333333333,66.0,0.209,0.56,-174.0,-124.39499999999998,5.0,-0.013999999999999985,-0.01200000000000001
Maxi Kleber,DAL,2023-24,191,103.0,132.46216,-29.462158203125,29.462158203125,-86.15814,351.08246,32.0,43,871.4116666666666,63,146,0.432,32,92,0.348,33,47,0.702,143,68,28,17,30,124,0.096,0.573,102.07,116.5,6.6,100.6,117.0,114.9,2.1,220.0,929.7683333333333,37.0,0.1,0.592,-29.0,-58.35666666666668,6.0,-0.0040000000000000036,-0.019000000000000017
Neemias Queta,BOS,2023-24,154,310.0,279.07526,30.92474365234375,30.92474365234375,60.454956,497.69556,24.0,28,333.21666666666664,67,104,0.644,0,0,0.0,20,28,0.714,122,20,13,13,21,135,0.16,0.662,98.67,128.7,20.4,97.98,122.2,110.6,11.7,12.0,28.69,5.0,0.141,0.607,142.0,304.52666666666664,23.0,0.019000000000000017,0.05500000000000005
Miles McBride,NYK,2023-24,562,611.0,642.84534,-31.8453369140625,31.8453369140625,424.22504,861.46564,23.0,68,1327.74,205,454,0.452,109,266,0.41,43,50,0.86,100,114,30,50,7,-16,0.164,0.59,95.4,110.6,0.0,95.96,117.3,112.4,4.9,222.0,760.2466666666667,64.0,0.141,0.475,340.0,567.4933333333333,4.0,0.02300000000000002,0.11499999999999999
Donovan Mitchell,CLE,2023-24,1463,1701.0,1667.9594,33.0406494140625,33.0406494140625,1449.3391,1886.5796,27.0,55,1942.65,503,1089,0.462,182,494,0.368,275,318,0.865,280,333,154,101,30,325,0.301,0.595,99.82,115.9,7.3,97.62,114.7,112.1,2.5,1922.0,2432.38,68.0,0.31,0.614,-459.0,-489.73,-13.0,-0.009000000000000008,-0.019000000000000017
